Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Paiement par carte,Valeur actuelle,2025-09-18 16:14:06,2025-09-19 07:03:37,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,51.58
Paiement par carte,Valeur actuelle,2025-09-18 21:55:31,2025-09-19 07:03:38,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,44.98
Paiement par carte,Valeur actuelle,2025-09-19 06:55:14,2025-09-20 06:28:35,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,42.68
Paiement par carte,Valeur actuelle,2025-09-19 14:07:49,2025-09-20 06:28:35,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,36.08
Paiement par carte,Valeur actuelle,2025-09-19 16:13:32,2025-09-20 06:28:36,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,33.78
Virement,Valeur actuelle,2025-09-20 08:44:47,2025-09-20 08:44:47,Virement d'un utilisateur Revolut,30.00,0.00,CHF,TERMINÉ,63.78
Changes,Valeur actuelle,2025-09-21 21:48:02,2025-09-21 21:48:02,Change en EUR,-12.00,0.00,CHF,TERMINÉ,51.78
Paiement par carte,Valeur actuelle,2025-09-22 18:08:09,2025-09-23 06:50:58,SBB CFF FFS,-8.40,0.00,CHF,TERMINÉ,43.38
Changes,Valeur actuelle,2025-09-23 17:35:50,2025-09-23 17:35:50,Change en EUR,-43.38,0.00,CHF,TERMINÉ,0.00
Changes,Valeur actuelle,2025-09-25 20:09:59,2025-09-25 20:09:59,Change en CHF,1300.00,0.00,CHF,TERMINÉ,1300.00
Virement,Valeur actuelle,2025-09-29 19:11:53,2025-09-30 05:12:20,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,98.56
Paiement par carte,Valeur actuelle,2025-10-02 19:05:52,2025-10-04 05:56:48,SBB CFF FFS,-11.00,0.00,CHF,TERMINÉ,87.56
Paiement par carte,Valeur actuelle,2025-10-05 22:36:23,2025-10-07 06:44:23,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,80.96
Paiement par carte,Valeur actuelle,2025-10-06 14:33:55,2025-10-07 06:44:23,SBB CFF FFS,-6.60,0.00,CHF,TERMINÉ,74.36
Paiement par carte,Valeur actuelle,2025-10-05 22:38:34,2025-10-07 06:44:25,SBB CFF FFS,-2.30,0.00,CHF,TERMINÉ,72.06
